iata_code,city_rus
FOR,Форталеса
FOU,Фугаму
FOY,Фойя
FRA,Франкфурт-на-Майне
FRC,Франка
FRE,Фера-Айленд
FRF,Франкфурт-на-Майне
FRJ,Фрехус
FRL,Форли
FRO,Флоро
FRQ,Ферамин
FRS,Флорес
FRT,Фрутильяр
FRU,Бишкек
FRW,Франсистаун
FSS,Форрес
FTA,Футуна-Айленд
FTI,Фитута
FTU,Форт-Дофин
FTW,Форт Уорт
FTY,Атланта
FUB,Фуллборн
FUG,Фуан
FUJ,Фуку
FUK,Фукуока
FUM,Фума
FUO,Фушань
FUT,Футуна-Айленд
FWA,Форт Уэйн
FWM,Форт-Вильям
FXE,Форт Лодердейл
FYM,Файетвилл
FYN,Фуюнь
FYT,Файя
FYV,Файетвилл
FZO,Бристоль
GAA,Гуамал
GAC,Грация
GAE,Габес
GAF,Гафса
GAJ,Ямагата
GAN,Ген-Айленд
GAO,Гуантанамо
GAP,Гусап
GAQ,Гао
GAR,Гарайна
GAS,Гарисса
GAT,Гап
GAV,Гаг-Айленд
GAW,Ганго
GAX,Гамба
GAY,Гайя
GBA,Биг-Бей
GBB,Гара-Джебилет
GBC,Гасуке
GBE,Габороне
GBF,Негарбо
GBJ,Мари-Галанте
GBK,Гбангбаток
GBM,Гарбахари
GBN,Сан Джованни Ротондо
GBO,Балтимор
GBS,Порт-Фицрой
GBZ,Грейт-Барьер-Айленд
GCC,Жилетте
GCI,Гернси
GCJ,Йоханнесбург
GDA,Гунда
GDG,Магдагачи
GDI,Гордил
GDJ,Гандаджика
GDL,Гуадалахара
GDN,Гданьск
GDP,Гуадалупе
GDQ,Гондэр
GDX,Магадан
GDZ,Геленджик
GEB,Гебе
GEC,Геситкале
GEF,Жева-Эйрстрип
GEG,Спокане
GEN,Осло
GER,Нуэва-Герона
GES,Женерал-Сантос
GEV,Галливаре
GEX,Гелонг
GFO,Бартика
GFR,Гранвиль
GFY,Грутфонтейн
GGC,Лумбала
GGL,Жилгал
GHD,Гимби
GHE,Гарахин
GHK,Гуш-Катиф
GHN,Гуанчжань
GHT,Гат
GHU,Гуалегуайчу
GIB,Гибралтар
GII,Сигуири
GIL,Гилгит
GIM,Миеле-Мимбале
GIS,Гизборн
GIT,Гейта
GIU,Сигирия
GJT,Гранд Джанкшн
GKA,Горока
GKE,Гайленкирхен
GKH,Горкха
GKO,Конгобумба
GKT,Гатлинбург
GLC,Гелади
GLF,Голфито
GLK,Галкайо
GLL,Гол
GLM,Гленормистон
GLN,Гулимим
GLO,Глучестер
GLP,Гулгубип
GLS,Гелвстон
GLT,Гледстоун
GLX,Галела
GLZ,Бреда
GMB,Гамбела
GMC,Герима
GME,Гомель
GMI,Гасмата-Айленд
GMM,Гамбома
GMN,Греймауз
GMS,Гимараес
GMY,Райндален
GNA,Гродно
GNB,Гренобль
GNE,Гент
GNI,Грин Айленд
GNN,Гиннир
GNR,Хенераль-Рока
GNS,Гунунгситоли
GNZ,Ганзи
GOB,Гоба
GOC,Гора
GOI,Гоа
GOJ,Нижний Новгород
GOM,Гома
GOP,Горахпур
GOQ,Голмуд
GOR,Гор
GOT,Готенбург
GOU,Гаруа
GOY,Гал-Ойя
GPA,Патрас
GPI,Гуапи
GPL,Гуапайлз
GPO,Хенераль-Пико
GRA,Гамарра
GRB,Грин Бэй
GRC,Гранд-Цесс
GRF,Такома
GRG,Гардез
GRH,Гаруахи
GRJ,Джордж
GRL,Гараса
GRO,Герона
GRQ,Гронинген
GRS,Гроссето
GRT,Гуджрат
GRU,Сао Паоло
GRV,Грозный
GRX,Гранада
GRY,Гримси
GRZ,Грац
GSE,Готенбург
GSI,Гуадалканал
GSR,Гардо
GSU,Гедарев
GSY,Гримсби
GTB,Гентинг
GTI,Гюттин
GTN,Маунт Кук
GTO,Горонтало
GTW,Злин
GTY,Геттисберг
GUA,Гватемала Сити
GUB,Гверреро-Негро
GUD,Гундам
GUG,Гуари
GUI,Гуйриа
GUL,Гоулбурн
GUO,Гуалако
GUP,Галлап
GUQ,Гуанаре
GUV,Мугулу
GUW,Атырау
GUX,Гуна
GVA,Женева
GVI,Грин-Ривер
GVX,Гавле
GWD,Гвадар
GWE,Гверу
GWL,Гвалиор
GWW,Берлин
GWY,Голуэй
GXF,Сейюн
GXG,Негаге
GXH,Милденхолл
GXQ,Койайке
GXX,Ягуа
GYA,Гуаярамерин
GYD,Баку
GYE,Гуайяквил
GYI,Гисеный
GZI,Газни
GZM,Гозо
GZO,Гизо
GZT,Газиантеп
HAA,Хасвик
HAB,Гамильтон
HAD,Халмстад
HAJ,Ганновер
HAK,Хайкоу
HAL,Халали
HAM,Гамбург
HAN,Ханой
HAO,Гамильтон
HAP,Лонг Айленд
HAS,Хаиль
HAU,Хаугезунд
HAV,Гавана
HAZ,Хетцфельдтавен
HBA,Хобарт
HBE,Александрия
HBG,Хаттисберг
HBI,Харбор-Айленд
HBL,Бабелеги
HBT,Хафр-Альбатин
HBX,Хубли
HCQ,Холлз Крик
HCS,Йоханнесбург
HDB,Хайдельберг
HDD,Хидерабад
HDF,Херингсдорф
HDM,Хамадан
HDY,Хат Яй
HEA,Герат
HEB,Хензада
HEE,Хелена
HEH,Хехо
HEK,Хейхе
HEM,Хельсинки
HET,Хоххот
HEV,Гуелва
HEW,Афины
HEX,Санто-Доминго
HEZ,Натчез
HFA,Хайфа
HFD,Хартфорд
HFE,Хефей
HFS,Хагфорс
HFT,Хаммерфест
HGA,Харгейса
HGH,Ханчжоу
HGL,Хелголанд
HGN,Мей-Хонг-Сон
HHA,Чанша
HHE,Хачинохе
HHP,Гонконг
HHQ,Хуа-Хин
HHZ,Хикуэру
HIC,Претория
HID,Хорн-Айленд
HIF,Огден
HIG,Хайбери
HIH,Хук-Айленд
HIJ,Хиросима
HIK,Гонолулу
HIL,Шилаво
HIS,Хейман Айленд
HIT,Хиваро
HIW,Хиросима
HJR,Кхаджурахо
HKD,Хакодате
HKG,Гонконг
HKK,Хокитика
HKS,Джексон
HKT,Пхукет
HKV,Хасково
HLA,Лансерия
HLD,Хайлар
HLF,Хултсфред
HLH,Уланьхот
HLN,Хелена
HLP,Джакарта
HLS,Сент Хеленс
HLT,Гамильтон
HLV,Хеленвейл
HLW,Хлухлуве
HLZ,Гамильтон
HMA,Ханты-Мансийск
HMI,Хами
HMJ,Хмельницкий
HMN,Аламогордо
HMO,Хермосилльо
HMR,Хамар
HND,Токио
HNG,Хьенгене
HNI,Хейвени
HNL,Гонолулу
HNN,Хонинаби
HNY,Хеньян
HOA,Хола
HOE,Хоуисей
HOG,Голгуин
HOH,Хохенемс
HOI,Хао-Айленд
HOO,Кваньдук
HOQ,Хоф
HOX,Хомалин
HOY,Хой-Айленд
HPH,Хейфонг
HPR,Претория
HRA,Мансехра
HRB,Харбин
HRC,Жайрем
HRE,Хараре
HRG,Хургада
HRJ,Чаурджхари
HRK,Харьков
HRL,Харлинген
HRN,Герон Айленд
HRR,Херрера
HRS,Харрисмит
HRT,Херрогейт
HSC,Шаогуань
HSH,Лас Вегас
HSK,Хуэска
HSN,Чжушань
HSS,Хиссар
HTA,Чита
HTG,Хатанга
HTI,Хамилтон Айленд
HTN,Хотан
HTR,Хатерума
HTZ,Хато-Коросал
HUB,Хамберт-Ривер
HUE,Хумера
HUG,Хухутенанго
HUI,Гуе
HUN,Хуалянь
HUQ,Хоун
HUU,Уануко
HUV,Худиксвалл
HUX,Хуатулко
HUY,Хамберсайд
HUZ,Хуэйчжоу
HVA,Аналалава
HVB,Херви Бей
HVG,Хоннигсвог
HVK,Холмавик
HVM,Хваммстанги
HWA,Хавабанго
HWO,Холливуд
HYA,Хианнис
HYC,Хай-Вайкомб
HYD,Хидерабад
HYF,Хейфильдз
HYN,Хуанань
HYV,Хивинкаа
HZB,Хазебрук
HZG,Ханьчжун
HZK,Хусавик
HZV,Хезивью
IAA,Игарка
IAB,Вичита
IAG,Ниагара Фоллз
IAH,Хьюстон
IAQ,Бахреган
IAR,Ярославль
IAS,Иаси
IBA,Ибадан
IBE,Ибаги
IBI,Ибоки
IBO,Ибо
IBP,Иберия
IBZ,Ибица
ICA,Икабару
ICI,Кикия
ICN,Сеул
ICR,Никаро
ICT,Вичита
IDA,Айдахо Фоллз
IDB,Идре
IDF,Идиофа
IDN,Индаген
IDP,Индепенденс
IDR,Индор
IEG,Зелена-Гора
IEJ,Иежима
IEV,Киев
IFJ,Исафьордур
IFN,Исфахан
IFO,Ивано-Франковск
IGB,Инженеро-Джако
IGE,Игуэла
IGL,Измир
IGN,Илиган
IGO,Чигородо
IHN,Кишн
IHO,Ихоси
IHU,Иху
IIN,Нисиноомоте
IIS,Ниссан-Айленд
IJK,Ижевск
IKI,Ики
IKL,Икела
IKS,Тикси
IKT,Иркутск
ILA,Иллага
ILK,Илака
ILO,Йоило
ILR,Илорин
ILU,Килагуни
ILZ,Жилина
IMA,Иамалеле
IMB,Имбаимадай
IMD,Имонда
IMF,Имфал
IMG,Иньяминга
IMK,Симикот
IMZ,Нимроз
INA,Инта
INB,Индепенденс
INC,Фучуан
INE,Шинде
INF,Ин-Геззам
INH,Иньямбане
INI,Ниш
INN,Инсбрук
INO,Инонго
INQ,Инишир
INR,Со Сен Мари
INX,Инанватан
INZ,Ин-Салах
IOA,Иоаннина
IOK,Иокеа
ION,Импфондо
IOP,Иома
IOR,Инишмор
IOS,Илеус
IPA,Ипота
IPE,Ипил
IPG,Ипиранга
IPH,Ипох
IPI,Ипиалес
IPN,Ипатинга
IPW,Ипсвич
IQM,Куэмо
IQN,Куаньян
IQQ,Икуике
IQT,Икуитос
IRA,Киракира
IRI,Иринга
IRJ,Ла-Риоха
IRN,Ириона
ISD,Искуанде
ISE,Испарта
ISG,Исигаки
ISH,о.Искья
ISJ,Айла Мухерес
ISK,Насик
ISM,Киссимми
IST,Стамбул
ITK,Итокама
ITM,Осака
IUE,Ниуе-Айленд
IUS,Инус
IVA,Амбандза
IVC,Инверкаргилл
IVL,Ивало
IVO,Чиволо
IWA,Иваново
IWJ,Ивами
IWS,Хьюстон
IXA,Агартала
IXB,Багдогра
IXC,Чандигарх
IXD,Аллахабад
IXE,Мангалор
IXG,Белгаум
IXH,Кайлашахар
IXI,Лилабари
IXJ,Джамму
IXK,Кешод
IXL,Лех
IXM,Мадурай
IXN,Ховаи
IXP,Патханкот
IXQ,Камалпур
IXR,Ранчи
IXS,Силчар
IXT,Пасигхат
IXU,Аурангабад
IXV,Алонг
IXW,Джамшедпур
IXY,Кандия
IXZ,Порт-Блер
IZO,Идзумо
IZT,Ихтепек
JAA,Джелалабад
JAB,Джабиру
JAC,Джексон
JAD,Перт
JAE,Атланта
JAF,Джафна
JAG,Джакобабад
JAI,Джайпур
JAJ,Атланта
JAL,Халапа
JAM,Джамбол
JAN,Джексон
JAO,Атланта
JAP,Пунта Ренес
JAQ,Жакино-Бей
JAS,Джаспер
JAU,Хауха
JBC,Бостон
JBP,Лос Анджелес
JCA,Канны
JCC,Сан-Кристобаль
JCN,Инчеон
JCU,Сеута
JCX,Лос Анджелес
JDB,Даллас
JDH,Джодхпур
JDM,Майами
JDN,Иордания
JDP,Париж
JDT,Миннеаполис
JDX,Хьюстон
JDZ,Цзиньдэчжэнь
JED,Джедда
JEE,Жереми
JEJ,Джех
JER,Джерси
JFK,Нью-Йорк
JFM,Фримантл
JGA,Джамнагар
JGB,Джагдалпур
JGL,Атланта
JGN,Цзяюйгуань
JGP,Хьюстон
JGQ,Хьюстон
JHB,Джохор-Бару
JHG,Цзиньхонг
JHW,Джеймстаун
JHY,Кембрдидж
JIB,Джибути
JID,Лос Анджелес
JIJ,Джиджига
JIL,Цзилинь
JIM,Джимма
JIN,Джинджа
JIP,Хипихапа
JIR,Джири
JIU,Цзюцзянь
JIW,Дживани
JJI,Хуанхуй
JJN,Цзиньян
JKG,Йонкопинг
JKH,Хиос
JKR,Джанакпур
JKT,Джакарта
JLO,Езоло
JLR,Джабалпур
JLX,Лос Анджелес
JMA,Хьюстон
JMB,Джамба
JMD,Даллас
JMK,Миконос
JMM,Малмо
JMO,Джомсом
JMS,Джеймстаун
JMU,Джаймуси (Китай)
JNG,Цзинин
JNH,Даллас
JNI,Хунин
JNN,Нанорталик
JNP,Ньюпорт Бич
JNX,Наксо
JNZ,Цзиньчжоу
JOC,Санта-Ана
JOE,Йонсуу
JOG,Джогиякарта
JOK,Йошкар-Ола
JOL,Жоло
JOM,Ньомбе
JOP,Жозефсталль
JOR,Орандж
JOS,Йос
JPA,Жоао Пессоа
JPT,Хьюстон
JPU,Париж
JQE,Жак
JRA,Нью-Йорк
JRC,Рочестер
JRE,Нью-Йорк
JRH,Йорхат
JRK,Арсук
JRO,Килиманджаро
JRS,Иерусалим
JSA,Джайсалмер
JSG,Сан-Рафаэль
JSI,Скиатлос
JSL,Атлантик Сити
JSN,Лос Анджелес
JSO,Содерталье
JSR,Джессор
JSS,Спецаи-Айленд
JSY,Сирос-Айленд
JTO,Таузэнд Оукс
JUA,Жуара
JUB,Джуба
JUC,Лос Анджелес
JUI,Юист
JUJ,Хухуй
JUL,Хулиака
JUM,Джумла
JUO,Журадо
JUT,Хутикальпа
JUV,Упернавик
JVA,Анкавандра
JWA,Жваненг
JWC,Лос Анджелес
JWH,Хьюстон
JWL,Хьюстон
JXN,Джексон
JYV,Ювяскюля
KAA,Касама
KAB,Кариба
KAC,Камешли
KAD,Кадуна
KAF,Карато
KAG,Гангнеунг
KAH,Мельбурн
KAI,Каетер
KAJ,Каяне
KAN,Кано
KAO,Кусамо
KAP,Капанга
KAQ,Камулай
KAR,Камаранг
KAS,Карасбург
KAT,Кайтайа
KAU,Каухава
KAV,Каванаен
KAW,Котонг
KAY,Вакая-Айленд
KAZ,Кау
KBA,Кабала
KBB,Киркимби
KBF,Карубага
KBH,Калат
KBI,Криби
KBJ,Кингз Каньон
KBM,Кабвум
KBN,Кабинда
KBO,Кабало
KBP,Борисполь
KBQ,Касунгу
KBR,Кота-Бару
KBU,Котабару
KBV,Краби
KBX,Камбуая
KBZ,Каикоура
KCA,Куга
KCB,Касикасима
KCH,Кучинг
KCK,Канзас Сити
KCO,Косаели
KCP,Каменец-Подольский
KCS,Кингз Крик Стэйшн
KCT,Коггала
KCU,Масинди
KCZ,Кочи
KDA,Колда
KDC,Канди
KDD,Хуздар
KDE,Короба
KDG,Карджали
KDH,Кандагар
KDL,Кярдла
KDP,Кандеп
KDR,Кандриан
KDU,Скарду
KDV,Кандаву
KDW,Канди
KEA,Кейса
KEC,Касенга
KED,Кеди
KEE,Келле
KEF,Рейкьявик
KEG,Кегльсугль
KEI,Кепи
KEJ,Кемерово
KEL,Киел
KEN,Кенема
KEP,Непалгандж
KEQ,Кебар
KER,Керман
KEX,Канабеа
KEY,Керичо
KFA,Киффа
KFG,Калкурунг
KFS,Кастамону
KGA,Кананга
KGB,Конге
KGD,Калининград
KGF,Караганда
KGG,Кедугу
KGH,Йонгай
KGI,Калгурли
KGJ,Каронга
KGN,Казонго-Лунда
KGO,Кировоград
KGP,Когалым
KGS,Кос
KGU,Кенингау
KGW,Каги
KGY,Кингарой
KHA,Ханех
KHC,Керчь
KHE,Херсон
KHG,Каши
KHJ,Каухайоки
KHL,Кхулна
KHM,Хамти
KHN,Наньчан
KHS,Хасаб
KHT,Хост
KHU,Кременчуг
KHV,Хабаровск
KIA,Кайапит
KID,Кристианстад
KIE,Киета
KIH,Киш-Айленд
KIJ,Ниигата
KIK,Киркук
KIL,Килва
KIM,Кимберли
KIN,Кингстоун
KIQ,Кира
KIS,Кисуму
KIT,Китира
KIU,Киунга
KIV,Кишинев
KIW,Китве
KIX,Осака
KIY,Килва
KIZ,Кикинонда
KJA,Красноярск
KJP,Керама
KJU,Камираба
KKC,Кхон Каен
KKD,Кокода
KKG,Конаварук
KKJ,Кита-Кюсю
KKM,Лоп Бури
KKN,Киркенес
KKO,Кайкоэ
KKW,Киквит
KKX,Кикаига-Сима
KKY,Килкенни
KLB,Калабо
KLC,Каолак
KLD,Тверь
KLE,Келе
KLF,Калуга
KLH,Колхапур
KLK,Калокол
KLO,Калибо
KLQ,Келуанг
KLR,Калмар
KLT,Кайзерслаутен
KLU,Клагенфурт
KLV,Карловы-Вары
KLX,Каламата
KLY,Калима
KLZ,Кляйнзи
KMA,Керема
KMB,Койнамбе
KMD,Манджи
KME,Камембе
KMF,Камина
KMG,Кунминг
KMH,Куруман
KMI,Миядзаки
KMJ,Кумамото
KMK,Макабана
KMM,Кимам
KMN,Камина
KMP,Китмансхуп
KMQ,Коматсу
KMR,Каримуи
KMS,Кумаси
KMT,Кампот
KMU,Кисмайо
KMV,Калемьо
KMW,Кострома
KNA,Винья-дель-Мар
KNB,Канаб
KND,Кинду
KNE,Канайндж
KNG,Каймана
KNH,Кинмень
KNJ,Киндамба
KNM,Каниама
KNN,Канкан
KNQ,Коне
KNR,Канган
KNS,Кинг-Айленд
KNU,Канпур
KNX,Кунунурра
KNZ,Кеньеба
KOB,Кутаба
KOC,Кумак
KOD,Котабангун
KOG,Кхонг
KOJ,Кагошима
KOL,Кумала
KOM,Комо-Манда
KON,Контум
KOO,Конголо
KOP,Накхон Патхом
KOR,Кокоро
KOU,Куламуту
KOV,Кокшетау
KOW,Ганьчжоу
KOX,Коконао
KPA,Копьяго
KPE,Япсией
KPG,Курупунг
KPM,Компиам
KPO,Пхохан
KQA,Акутан
KQL,Кол
KRF,Крамфорс
KRG,Карасабаи
KRI,Кикори
KRJ,Каравари
KRK,Краков
KRL,Корла
KRM,Каранамбо
KRN,Кируна
KRO,Курган
KRP,Каруп
KRQ,Краматорск
KRR,Краснодар
KRS,Кристиансенд
KRT,Хартум
KRV,Керио-Валлей
KRX,Кар-Кар
KRY,Карамай
KRZ,Кири
KSB,Касаномбе
KSC,Косице
KSD,Карлстад
KSE,Касесе
KSF,Кассел
KSG,Кисенгам
KSH,Керманшах
KSI,Киссидугу
KSK,Карлскуга
KSL,Кассала
KSN,Костанай
KSO,Кастория
KSP,Косипе
KSQ,Карши
KSS,Сикассо
KST,Кости
KSU,Кистиансанд
KSW,Кирьят-Шемона
KSX,Ясуру
KSY,Карс
KSZ,Котлас
KTA,Каррата
KTE,Кертех
KTF,Такака
KTI,Кратье
KTK,Кануа
KTL,Китале
KTM,Катманду
KTO,Като
KTP,Кингстоун
KTR,Кэтрин
KTT,Киттила
KTU,Мота
KTW,Катовице
KTX,Кутиала
KUA,Куантан
KUC,Куриа
KUE,Кукунди
KUF,Самара
KUG,Кубин-Айленд
KUH,Куширо
KUI,Кавау-Айленд
KUJ,Кушимото
KUL,Куала-Лумпур
KUN,Каунас
KUO,Куопио
KUP,Купиано
KUQ,Кури
KUT,Кутаиси
KUY,"Кугурурок-Ривер, шт. Аляска"
KVA,Кавала
KVB,Сковде
KVD,Гянджа
KVE,Китава
KVG,Кавьенг
KVK,Кировск
KVU,Королеву
KVX,Киров
KWD,Каваджиа
KWE,Гуйянг
KWG,Кривой Рог
KWH,Хвахан
KWJ,Гванджу
KWL,Гуйлинь
KWO,Кавито
KWR,Квай-Харбор
KWU,Мансьон-Хаус
KWV,Курвина
KWX,Киваи-Айленд
KWY,Кивайю
KWZ,Колвези
KXE,Клерксдорп
KXK,Комсомольск на Амуре
KXR,Карула
KYA,Конья
KYD,Орхид-Айленд
KYE,Триполи
KYL,Ки Ларго
KYN,Милтон-Кейнес
KYO,Тампа
KYP,Кьяукпью
KYS,Кайес
KYT,Кьяуктау
KYX,Ялумет
KYZ,Кызыл
KZD,Кракор
KZF,Каинтиба
KZI,Козани
KZN,Казань
KZO,Кзыл-Орда
KZS,Кастелоризо
LAB,Лаблаб
LAG,Ла-Гуайра
LAH,Лабуха
LAI,Ланнион
LAN,Лансинг
LAO,Лаоак
LAP,Ла Пас
LAQ,Бейда
LAS,Лас Вегас
LAV,Лаломалава
LAY,Ледисмит
LBE,Латроуб
LBG,Париж
LBH,Сидней
LBI,Альби
LBJ,Лабуан-Баджо
LBK,Либой
LBM,Луабо
LBN,Лейк-Баринго
LBO,Лусамбо
LBQ,Ламбарене
LBS,Лабаса
LBV,Либревилль
LBY,Сен Назер
LCA,Ларнака
LCC,Лечче
LCD,Луи-Тришар
LCF,Рио Дульче
LCG,Ла Коруна
LCJ,Лодзь
LCL,Ла-Колома
LCR,Ла-Хоррера
LCS,Лас-Канас
LCV,Лучча
LCY,Лондон
LDA,Малда
LDB,Лондрина
LDG,Лешуконское
LDI,Линди
LDK,Лидкопинг
LDN,Ламиданда
LDO,Ладуанье
LDR,Лодар
LEC,Ленкуа
LED,Санкт-Петербург
LEF,Лебакенг
LEG,Алег
LEH,Ле Хавре
LEI,Алмерия
LEK,Лабе
LEN,Леон
LEO,Лекони
LES,Лесобенг
LEV,Бюрета
LEY,Лелистад
LFR,Ла-Фриа
LGA,Нью-Йорк
LGG,Льеж
LGI,Лонг Айленд
LGK,Лангкави
LGL,Лонг-Лелланг
LGM,Лаягам
LGN,Линга-Линга
LGO,Лангеоог
LGQ,Лаго-Агрио
LGR,Кочране
LGS,Маларкуэ
LGT,Лас-Гавиотас
LGW,Лондон
LGX,Лю-Ганан
LGY,Лагуниллас
LGZ,Легизамо
LHA,Лар
LHE,Лахор
LHI,Лерех
LHN,Лишань
LHP,Леху
LHR,Лондон
LHS,Лас-Херас
LHW,Ланчжоу
LIC,Лимон
LID,Лейден
LIE,Либенж
LIG,Лимож
LII,Мулиа
LIJ,Лонг Айленд
LIL,Лилль
LIM,Лима
LIN,Милан
LIO,Лимон
LIQ,Лисала
LIR,Либерия
LIS,Лиссабон
LIW,Лойкау
LIX,Ликома-Айленд
LJA,Лоджа
LJG,город Лицзян
LJU,Любляна
LKA,Ларантука
LKB,Лакеба
LKC,Лекана
LKD,Лейклэнд-Даунз
LKN,Лекнес
LKO,Лакнау
LKP,Лейк Плесид
LKU,Лейк-Рудольф
LKY,Лейк-Маньяра
LKZ,Брэндон
LLA,Лули
LLE,Малелейн
LLH,Лас-Лимас
LLM,Лонг-Лама
LLN,Келила
LLP,Линда-Даунз
LLS,Лас-Ломитас
LMB,Салима
LMD,Лос-Менукос
LME,Ле Манс
LMG,Ламасса
LMH,Лимон
LMI,Луми
LML,Лей-Айленд
LMM,Лос-Мошис
LMQ,Марса-Брега
LMR,Лайм-Акрес
LMT,Кламмат Фоллз
LMY,Лейк-Мюррей
LMZ,Палма
LNA,Уест Палм Бич
LNB,Ламен-Бей
LNC,Ленгбати
LNF,Мунбил
LNG,Лесе
LNM,Лангимар
LNQ,Лоани
LNX,Смоленск
LNZ,Линц
LOA,Лотарингия
LOD,Лонгана
LOE,Лоэй
LOF,Лоун
LOK,Лодвар
LOM,Лагос-де-Морено
LOS,Лагос
LOV,Монклова
LOZ,Лондон
LPB,Ла Пас
LPD,Ла-Педрера
LPE,Ла-Примавера
LPH,Лохгилпхед
LPI,Линкопинг
LPJ,Пихигуаос
LPK,Липецк
LPL,Ливерпуль
LPM,Ламап
LPP,Лаппенранта
LPQ,Луанг Прабанг
LPT,Лампанг
LPU,Лонг-Апунг
LPX,Лиепая
LPY,Ле-Пуй
LRA,Лариса
LRB,Лерибе
LRC,Лаарбух
LRD,Ларедо
LRG,Лора-Лаи
LRH,Ла Рошель
LRI,Лорика
LRM,Ла-Романа
LRN,Мозес Лейк
LRS,Лерос
LRT,Лориент
LRV,Лос-Рокес
LSA,Лосуя
LSC,Ла Серена
LSH,Лашио
LSJ,Лонг Айленд
LSL,Лос-Чилес
LSO,Лес-Саблес
LSP,Лас-Пьедрас
LSQ,Лос Анджелес
LST,Лончестон
LSU,Лонг-Суканг
LSX,Лхок-Сукон
LTA,Цанин
LTB,Латроуб
LTC,Лей
LTD,Гадамес
LTF,Лейтре
LTG,Лангтанг
LTI,Алтай
LTK,Латакия
LTL,Ластурвилль
LTM,Летем
LTO,Лорето
LTP,Линдхерст
LTR,Леттеркенни
LUA,Лукла
LUB,Лумид-Пау
LUD,Людериц
LUE,Лученец
LUF,Феникс
LUH,Лудхиана
LUI,Ла-Унион
LUJ,Лусикисики
LUM,Луси
LUQ,Сан-Луис
LUS,Лусанга
LUW,Лувук
LUX,Люксембург
LVA,Лаваль
LVI,Ливингстоун
LVM,Ливингстон
LVS,Лас Вегас
LWE,Леволеба
LWI,Ловай
LWO,Львов
LWR,Лиуварден
LXG,Луанг-Намтха
LXR,Луксор
LXU,Лукулу
LYA,Люян
LYC,Ликселе
LYG,Лианьюнан
LYH,Линчбург
LYK,Луньюк
LYN,Лион
LYP,Фейсалабад
LYR,Лонгербьен
LYS,Лион
LZA,Луиза
LZC,Лацаро-Карденас
LZD,Ланчжоу
LZH,Лучжоу
LZI,Луози
LZO,Лужчоу
LZR,Лизард Айленд
MAC,Макон
MAD,Мадрид
MAF,Мидленд
MAG,Маданг
MAI,Мангочи
MAK,Малакал
MAL,Манголе
MAM,Матаморос
MAN,Манчестер
MAO,Манаус
MAP,Мамаи
MAQ,Мае Сот
MAR,Маракайбо
MAT,Матади
MAX,Матам
MAY,Менгров-Кэй
MBA,Момбаса
MBC,Мбигу
MBE,Монбецу
MBI,Мбея
MBJ,Монтего Бей
MBK,Матупа
MBM,Мкамбати
MBO,Мамбурао
